url,count
sciencedirect.com,8639
thelancet.com,3621
cell.com,806
cell.com/cell,241
scopus.com,145
mayoclinicproceedings.org,97
annemergmed.com,73
cell.com/cell-reports,61
gastrojournal.org,49
ajog.org,45
andjrnl.org,42
ajkd.org,41
cell.com/cell-stem-cell,39
ebiomedicine.com,35
jvir.org,35
biologicalpsychiatryjournal.com,34
placentajournal.org,32
resuscitationjournal.com,32
ajconline.org,31
arthroscopyjournal.org,31
cell.com/neuron,31
journal-of-hepatology.eu,31
ajpmonline.org,30
jpeds.com,30
jacionline.org,28
mendeley.com/research,26
cell.com/molecular-cell,26
jclinepi.com,25
journalacs.org,24
mendeley.com/catalog,24
ajicjournal.org,23
ijdp.org,23
amjmed.com,22
jpsmjournal.com,22
jamda.com,20
archives-pmr.org,19
drugandalcoholdependence.com,19
jacr.org,19
jmirs.org,18
maturitas.org,18
journalofhospitalinfection.com,17
jad-journal.com,15
jccjournal.org,15
physicaltherapyinsport.com,15
jpain.org,14
bbmt.org,13
bodyworkmovementtherapies.com,13
nurseeducationtoday.com,13
annalsthoracicsurgery.org,12
journalofphysiotherapy.com,12
appliedanimalbehaviour.com,11
appliedanimalbehaviour.com,11
cghjournal.org,11
clinicalnutritionjournal.com,11
jnutbio.com,11
journalofdairyscience.org,11
journalvetbehavior.com,11
jsams.org,11
valueinhealthjournal.com,11
ajo.com,10
ehbonline.org,10
jhandsurg.org,10
jpsychores.com,10
radiographyonline.com,10
cell.com/immunity,9
fertstert.org,9
gaitposture.com,9
ijaaonline.com,9
ijgo.org,9
jaci-inpractice.org,9
nutritionjrnl.com,9
schres-journal.com,9
trendsanaesthesiacriticalcare.com,9
ajemjournal.com,8
alzheimersanddementia.com,8
onlinejase.com,8
publichealthjrnl.com,8
redjournal.org,8
sleephealthjournal.org,8
ashjournal.com,7
brainstimjrnl.com,7
cell.com/trends/cognitive-sciences,7
ejinme.com,7
internationalemergencynursing.com,7
jaad.org,7
jctejournal.com,7
jns-journal.com,7
jurology.com,7
manualtherapyjournal.com,7
onlinecjc.ca,7
pmrjournal.org,7
psy-journal.com,7
academicpedsjnl.net,6
atherosclerosis-journal.com,6
ejog.org,6
europsy-journal.com,6
footanklesurgery-journal.com,6
medicinejournal.co.uk,6
physicamedica.com,6
rbmojournal.com,6
cell.com/cancer-cell,5
homeopathyjournal.net,5
jaacap.com,5
jmptonline.org,5
jocn-journal.com,5
journalofpsychiatricresearch.com,5
journalofsubstanceabusetreatment.com,5
jpedhc.org,5
perinatology.theclinics.com,5
seminarsinnuclearmedicine.com,5
thebreastonline.com,5
alcoholjournal.org,4
annalsofglobalhealth.org,4
arthroplastyjournal.org,4
cell.com/structure,4
cmghjournal.org,4
cppah.com,4
europeangeriaticmedicine.com,4
globalheart-journal.com,4
ijmijournal.com,4
j-evs.com,4
joms.org,4
joms.org,4
jshoulderelbow.org,4
medical-hypotheses.com,4
