domain,count
goo.gl,3221547
www.nature.com,60501
arxiv.org,22388
www.cdc.gov,20316
www.who.int,19202
www.nejm.org,11403
www.bmj.com,11000
www.sciencemag.org,9068
dx.doi.org,6016
www.biomedcentral.com,4343
www.pnas.org,4222
www.intel.com,4079
pubs.acs.org,3877
www.apa.org,2926
www.frontiersin.org,2710
journals.cambridge.org,2697
www.elsevier.com,2583
www.ncbi.nlm.nih.gov,1764
www.jstor.org,1726
www.warc.com,1706
informahealthcare.com,1537
www.palgrave-journals.com,1515
bjsm.bmj.com,1326
www.cmaj.ca,1310
www.mdpi.com,1186
frontiersin.org,1151
pubs.rsc.org,1151
www.drugabuse.gov,1138
www.natureasia.com,1084
www.scirp.org,1024
ieeexplore.ieee.org,932
pediatrics.aappublications.org,884
ccforum.com,815
www.hindawi.com,812
www.ingentaconnect.com,765
circ.ahajournals.org,749
rspb.royalsocietypublishing.org,739
www.cfapubs.org,731
sciencecareers.sciencemag.org,728
content.healthaffairs.org,715
www.urotoday.com,708
www.oecd-ilibrary.org,705
www.cairn.info,686
www.jmir.org,649
jco.ascopubs.org,640
www.esajournals.org,619
stm.sciencemag.org,615
cid.oxfordjournals.org,608
muse.jhu.edu,592
www.guttmacher.org,589
guttmacher.org,579
www.emeraldinsight.com,576
www.bioone.org,565
www.ifpri.org,556
ehp.niehs.nih.gov,549
www.dovepress.com,536
genomebiology.com,519
www.jneurosci.org,494
jn.nutrition.org,492
www.neurology.org,467
journals.ametsoc.org,455
www.scielo.br,437
www.publish.csiro.au,427
www.americanscientist.org,423
www.futuremedicine.com,418
pss.sagepub.com,417
bmjopen.bmj.com,415
www.heacademy.ac.uk,406
bioinformatics.oxfordjournals.org,402
rstb.royalsocietypublishing.org,400
www.biotechniques.com,392
www.karger.com,387
heart.bmj.com,387
brain.oxfordjournals.org,378
www.ufpe.br,377
www.reading.org,373
www.wpro.who.int,354
ard.bmj.com,352
mbe.oxfordjournals.org,339
www.jospt.org,331
www.bloodjournal.org,319
www.improbable.com,319
www.ams.org,317
www.revespcardiol.org,307
www.ijbnpa.org,307
jap.physiology.org,305
erj.ersjournals.com,301
pmj.sagepub.com,296
www.cma.ca,296
tobaccocontrol.bmj.com,288
ajph.aphapublications.org,285
www.int-res.com,283
aut.sagepub.com,283
rsbl.royalsocietypublishing.org,272
www.euppublishing.com,270
jpubhealth.oxfordjournals.org,265
rsif.royalsocietypublishing.org,265
qualitysafety.bmj.com,264
mbio.asm.org,262
jom.sagepub.com,261
jnci.oxfordjournals.org,254
circoutcomes.ahajournals.org,253
stroke.ahajournals.org,252
clincancerres.aacrjournals.org,250
www.iop.org,247
stke.sciencemag.org,246
genome.cshlp.org,243
aje.oxfordjournals.org,242
adsabs.harvard.edu,240
www.jci.org,238
www.kau.edu.sa,238
www.maa.org,229
www.spe.org,224
nar.oxfordjournals.org,222
www.dlib.org,222
www.mitpressjournals.org,220
jnnp.bmj.com,218
bos.sagepub.com,215
www.persee.fr,211
www.annualreviews.org,210
adc.bmj.com,209
ioc.sagepub.com,206
ageing.oxfordjournals.org,203
cancerres.aacrjournals.org,200
pps.sagepub.com,200
care.diabetesjournals.org,199
jech.bmj.com,199
www.implementationscience.com,199
jid.oxfordjournals.org,197
www.ehjournal.net,197
bjp.rcpsych.org,196
benthamscience.com,193
www.upf.br,192
www.qscience.com,189
www.jnrbm.com,188
jeb.biologists.org,186
dem.sagepub.com,184
jn.physiology.org,183
gut.bmj.com,181
utpjournals.metapress.com,181
www.ajnr.org,181
www.unisinos.br,179
www.genetics.org,178
scan.oxfordjournals.org,177
jcr.sagepub.com,176
www.chemistryviews.org,175
www.geosociety.org,174
www.opticsinfobase.org,173
psp.sagepub.com,173
www.socresonline.org.uk,173
jcs.biologists.org,172
edr.sagepub.com,172
spp.sagepub.com,172
www.uic.edu,172
www.biogeosciences.net,171
www.trialsjournal.com,170
www.atmos-chem-phys-discuss.net,166
pubs.aeaweb.org,165
ije.oxfordjournals.org,165
www.jove.com,163
scielo.isciii.es,162
www.ibimapublishing.com,162
rnajournal.cshlp.org,161
www.enveurope.com,159
www.uhu.es,157
www.la-press.com,155
www.atmos-chem-phys.net,152
thorax.bmj.com,149
ptjournal.apta.org,149
scripts.iucr.org,148
www.ntnu.no,145
www.scielo.cl,144
www.health-policy-systems.com,142
www.intjem.com,139
jcb.rupress.org,137
www.annfammed.org,136
pb.rcpsych.org,135
annonc.oxfordjournals.org,134
soc.sagepub.com,134
www.jbc.org,131
www.giornaledellalibreria.it,128
dx.plos.org,127
nms.sagepub.com,127
www.journals.cambridge.org,124
rsta.royalsocietypublishing.org,123
jop.ascopubs.org,123
www.cabi.org,123
hpq.sagepub.com,120
www.worldscientific.com,120
beheco.oxfordjournals.org,120
irx.sagepub.com,119
www.harcourthealth.com,119
www.plantcell.org,118
cercor.oxfordjournals.org,118
www.revistacomunicar.com,118
aem.asm.org,116
www.soils.org,114
www.aanda.org,114
eurheartj.oxfordjournals.org,113
jpr.sagepub.com,113
www.lifescied.org,113
www.astm.org,110
geology.gsapubs.org,109
iospress.metapress.com,109
ehponline.org,109
journals.sfu.ca,108
revistas.ucm.es,108
rstl.royalsocietypublishing.org,107
jac.oxfordjournals.org,107
jem.rupress.org,107
www.thieme-connect.de,106
projecteuclid.org,106
www.jissn.com,106
ajpendo.physiology.org,105
aim.bmj.com,105
emj.bmj.com,104
ebm.bmj.com,104
www.amjbot.org,103
jacmp.org,103
veterinaryrecord.bmj.com,102
prod.kau.edu.sa,102
rheumatology.oxfordjournals.org,101
dev.biologists.org,101
www.fasebj.org,99
jme.bmj.com,97
jxb.oxfordjournals.org,96
qje.oxfordjournals.org,96
www.jfootankleres.com,96
jvi.asm.org,95
jop.sagepub.com,95
pan.oxfordjournals.org,95
ajp.psychiatryonline.org,94
www.iijournals.com,94
ejt.sagepub.com,93
www.niso.org,93
mct.aacrjournals.org,92
search.informit.com.au,91
jcp.bmj.com,90
www.wjso.com,88
genomemedicine.com,88
journal.transformativeworks.org,87
www.politicaltheology.com,86
pen.sagepub.com,84
jhppl.dukejournals.org,84
ann.sagepub.com,83
physrev.physiology.org,82
jfi.sagepub.com,81
www.molecularautism.com,81
www.malariajournal.com,80
circimaging.ahajournals.org,80
msj.sagepub.com,79
jpet.aspetjournals.org,78
ebn.bmj.com,78
www.biogeosciences-discuss.net,77
www.ajtmh.org,77
www.rcsb.org,77
circres.ahajournals.org,76
www.ijmhs.com,76
hyper.ahajournals.org,75
eurpub.oxfordjournals.org,74
diabetes.diabetesjournals.org,73
icesjms.oxfordjournals.org,73
apt.rcpsych.org,72
www.toraks.org.tr,72
bja.oxfordjournals.org,71
www.molecular-cancer.com,71
ir.lib.uwo.ca,71
ntr.oxfordjournals.org,70
www.virologyj.com,70
rfg.revuesonline.com,70
acikarsiv.ankara.edu.tr,70
cebp.aacrjournals.org,69
www.demographic-research.org,69
www.nutritionandmetabolism.com,69
www.globalhealthaction.net,69
molpharm.aspetjournals.org,68
www.jiasociety.org,68
library.queensu.ca,68
jcm.asm.org,66
www.nii.ac.jp,66
breast-cancer-research.com,65
www.ajhp.org,65
heapol.oxfordjournals.org,65
chiromt.com,65
www.entsoc.org,64
www.biochemj.org,62
ctx.sagepub.com,62
www.the-cryosphere-discuss.net,62
www.plantphysiol.org,61
www.agronomy.org,61
www.ajronline.org,61
gbe.oxfordjournals.org,61
www.clinchem.org,59
jrn.sagepub.com,59
schizophreniabulletin.oxfordjournals.org,59
aac.asm.org,58
www.future-science.com,58
rspa.royalsocietypublishing.org,57
www.ojrd.com,57
www.geosci-model-dev-discuss.net,57
www.jgme.org,57
thejns.org,56
oem.bmj.com,56
www.caareviews.org,56
www.hydrol-earth-syst-sci.net,56
csp.sagepub.com,56
www.envplan.com,55
www.globalizationandhealth.com,55
rsh.sagepub.com,54
www.unifor.br,54
www.clim-past.net,54
ped.sagepub.com,53
www.the-cryosphere.net,53
hdl.handle.net,52
casereports.bmj.com,52
www.mcponline.org,52
cjasn.asnjournals.org,52
www.clinsci.org,52
gerontologist.oxfordjournals.org,52
cje.oxfordjournals.org,52
www.frontiersinzoology.com,52
scholarcommons.usf.edu,52
www.publichealthinafrica.org,52
fn.bmj.com,51
www.translational-medicine.com,51
www.investigativegenetics.com,51
linkinghub.elsevier.com,50
www.inderscience.com,50
www.biolreprod.org,50
ajpheart.physiology.org,50
apsjournals.apsnet.org,49
jhs.sagepub.com,49
www.plantmethods.com,49
ajpcell.physiology.org,48
theoncologist.alphamedpress.org,48
cre.sagepub.com,48
crx.sagepub.com,48
hhs.sagepub.com,48
www.human-resources-health.com,48
www.mrs.org,47
mcs.sagepub.com,47
hol.sagepub.com,47
esr.oxfordjournals.org,47
asr.sagepub.com,47
www.caot.ca,47
endo.endojournals.org,46
www.apsnet.org,46
jicj.oxfordjournals.org,46
atvb.ahajournals.org,45
crs.sagepub.com,45
www.rbej.com,45
bib.oxfordjournals.org,45
www1.montpellier.inra.fr,45
dergiler.ankara.edu.tr,45
www.journalofvision.org,44
www.revistas.uchile.cl,44
www.surgicalneurologyint.com,44
www.wef.org,44
spr.sagepub.com,43
www.nat-hazards-earth-syst-sci.net,43
www.jacmp.org,43
banglajol.info,42
www.revistas.unam.mx,42
www.revistas.unam.mx.,42
avmajournals.avma.org,41
www.scielosp.org,41
www.perceptionweb.com,41
ajcp.ascpjournals.org,41
sdi.sagepub.com,41
respiratory-research.com,41
www.revistas.unal.edu.co,41
revistas.unam.mx,41
ijr.sagepub.com,40
www.nepjol.info,40
nepjol.info,40
genesdev.cshlp.org,40
www.scholarpedia.org,40
clinical.diabetesjournals.org,40
dmm.biologists.org,40
www.ro-journal.com,40
downloads.hindawi.com,40
www.crops.org,39
ps.psychiatryonline.org,39
nnr.sagepub.com,39
jhered.oxfordjournals.org,39
www.parasitesandvectors.com,39
www.ons.org,39
xlink.rsc.org,38
www.molbiolcell.org,38
www.plosmedicine.org,38
gas.sagepub.com,38
www.jot.fm,38
circheartfailure.ahajournals.org,38
rre.sagepub.com,38
fh.oxfordjournals.org,37
policing.oxfordjournals.org,37
iai.asm.org,36
sss.sagepub.com,36
nej.sagepub.com,36
rock.geosociety.org,36
chc.sagepub.com,36
qrj.sagepub.com,36
www.atmos-meas-tech.net,36
www.terrapub.co.jp,36
gsabulletin.gsapubs.org,36
psychiatrist.com,36
tc.bmj.com,36
www.icevirtuallibrary.com,35
bjo.bmj.com,35
usj.sagepub.com,35
hum.sagepub.com,35
www.banglajol.info,35
bjps.oxfordjournals.org,35
www.pcronline.com,35
online-journals.org,35
www.siam.org,35
circgenetics.ahajournals.org,35
ijtj.oxfordjournals.org,35
www.banglajol.info.,35
ijs.sgmjournals.org,34
abs.sagepub.com,34
het.sagepub.com,34
ncp.sagepub.com,34
labmed.ascpjournals.org,34
neuro-oncology.oxfordjournals.org,34
psr.sagepub.com,34
www.psychiatrist.com,34
cmc.sagepub.com,34
extra.shu.ac.uk,34
www.amsciepub.com,33
tcs.sagepub.com,33
cpr.sagepub.com,33
www.jabfm.org,33
bjc.oxfordjournals.org,33
redc.revistas.csic.es,33
www.geosci-model-dev.net,33
www.epigeneticsandchromatin.com,33
www.sjweh.fi,33
www.ssrn.com,32
jb.asm.org,32
liverpool.metapress.com,32
bjsw.oxfordjournals.org,32
www.jidc.org,32
www.informs.org,32
mtq.sagepub.com,32
stemcellres.com,32
tpp.sagepub.com,32
openurl.ingenta.com,31
www.crossref.org,31
www.jcb.org,31
pwq.sagepub.com,31
ire.sagepub.com,31
jiplp.oxfordjournals.org,31
www.kirj.ee,31
heapro.oxfordjournals.org,31
sex.sagepub.com,31
www.law.ed.ac.uk,31
www.veterinaryresearch.org,31
www.ijtmb.org,31
ijdc.net,31
ijtmb.org,31
www.plosbiology.org,31
www.bioscience.org,30
phg.sagepub.com,30
csi.sagepub.com,30
sysbio.oxfordjournals.org,30
biomedgerontology.oxfordjournals.org,30
www.termedia.pl,30
crj.sagepub.com,30
www.spandidos-publications.com,29
cep.sagepub.com,29
arthritis-research.com,29
www.hydrol-earth-syst-sci-discuss.net,29
dtb.bmj.com,29
www.nutritionj.com,29
www.journalagent.com,29
alzres.com,29
iupac.org,28
www.jrheum.org,28
jnis.bmj.com,28
err.ersjournals.com,28
www.app.pan.pl,28
www.iupac.org,28
www.jimmunol.org,27
www.bioscirep.org,27
sth.sagepub.com,27
www.informahealthcare.com,27
www.ers-education.org,27
www.medicaljournals.se,27
www.benthamscience.com,27
periodicos.ufsc.br,27
mic.sgmjournals.org,26
www.iwaponline.com,26
hej.sagepub.com,26
srl.geoscienceworld.org,26
ebmh.bmj.com,26
ema.sagepub.com,26
past.oxfordjournals.org,26
hsb.sagepub.com,26
fg.bmj.com,26
jhl.sagepub.com,25
rer.sagepub.com,25
oss.sagepub.com,25
aja.sagepub.com,25
jpart.oxfordjournals.org,25
ep.bmj.com,25
www.rcpe.ac.uk,25
poj.peeters-leuven.be,24
cpj.sagepub.com,24
prq.sagepub.com,24
em.oxfordjournals.org,24
wes.sagepub.com,24
aer.sagepub.com,24
www.plantmanagementnetwork.org,24
afraf.oxfordjournals.org,24
www.harmreductionjournal.com,24
www.scopemed.org,24
jcsl.oxfordjournals.org,24
recyt.fecyt.es,24
jep.textrum.com,24
crossref.org,24
www.jem.org,23
sti.bmj.com,23
www.ems-ph.org,23
ajpregu.physiology.org,23
jos.sagepub.com,23
plankt.oxfordjournals.org,23
jrc.sagepub.com,23
hij.sagepub.com,23
vmj.sagepub.com,23
cjp.sagepub.com,23
www.jswconline.org,23
sph.sagepub.com,23
car.sagepub.com,23
